timestamp,market_ticker,yes_bid,yes_ask,no_bid,no_ask
2026-05-05 18:41:21,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:41:22,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:23,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:24,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:25,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:26,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:41:27,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:28,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:41:29,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:41:33,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:41:37,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:41:40,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:41:42,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:41:45,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:41:54,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:41:56,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:41:57,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
